hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,51,2015,October,40,1,2,3,1,1,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,74.4,0,0,Check-Out,10/6/2015
Resort Hotel,0,78,2015,October,40,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314,,0,Contract,74.23,0,0,Check-Out,10/8/2015
Resort Hotel,0,24,2015,October,40,1,2,5,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,103,1,1,Check-Out,10/8/2015
Resort Hotel,0,45,2015,October,40,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,2,,0,Contract,82,0,0,Check-Out,10/8/2015
Resort Hotel,1,24,2015,October,40,1,2,5,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,77,0,0,Canceled,9/12/2015
Resort Hotel,0,44,2015,October,40,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,,0,Contract,69.93,0,1,Check-Out,10/8/2015
Resort Hotel,0,78,2015,October,40,1,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,,0,Contract,43.93,0,0,Check-Out,10/8/2015
Resort Hotel,0,45,2015,October,40,1,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,57.43,0,2,Check-Out,10/8/2015
Resort Hotel,0,115,2015,October,40,1,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,,0,Transient,36.74,0,1,Check-Out,10/8/2015
Resort Hotel,0,50,2015,October,40,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,,0,Transient,63.08,0,2,Check-Out,10/8/2015
Resort Hotel,0,45,2015,October,40,1,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,47,0,2,Check-Out,10/8/2015
Resort Hotel,1,103,2015,October,40,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,50.4,0,0,Canceled,6/22/2015
Resort Hotel,0,145,2015,October,40,1,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,,0,Contract,55.43,0,0,Check-Out,10/8/2015
Resort Hotel,0,3,2015,October,40,1,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,1,A,D,0,No Deposit,,28,0,Transient-Party,48,0,0,Check-Out,10/2/2015
Resort Hotel,1,240,2015,October,40,1,2,5,2,1,0,BB,PRT,Direct,Direct,0,1,0,A,A,0,No Deposit,250,,0,Transient,47.6,0,1,Canceled,9/14/2015
Resort Hotel,0,0,2015,October,40,1,0,1,2,0,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,120,1,0,Check-Out,10/2/2015
Resort Hotel,0,3,2015,October,40,1,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,28,0,Transient-Party,48,0,0,Check-Out,10/2/2015
Resort Hotel,0,0,2015,October,40,1,0,1,2,0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,G,3,No Deposit,,,0,Transient-Party,120,1,2,Check-Out,10/2/2015
Resort Hotel,0,0,2015,October,40,1,0,1,2,2,0,BB,PRT,Direct,Direct,0,0,0,A,G,0,No Deposit,,,0,Transient,116,1,0,Check-Out,10/2/2015
Resort Hotel,0,51,2015,October,40,1,0,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,74.4,1,1,Check-Out,10/3/2015
Resort Hotel,0,44,2015,October,40,1,1,3,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240,,0,Transient,66.3,1,2,Check-Out,10/5/2015
Resort Hotel,0,84,2015,October,40,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,,0,Contract,80,0,0,Check-Out,10/8/2015
Resort Hotel,0,50,2015,October,40,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,,0,Transient,61.65,0,2,Check-Out,10/8/2015
Resort Hotel,0,45,2015,October,40,1,2,5,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,56,0,1,Check-Out,10/8/2015
Resort Hotel,0,55,2015,October,40,1,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,243,,0,Contract,39.68,0,2,Check-Out,10/8/2015
Resort Hotel,0,55,2015,October,40,1,2,5,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,,0,Contract,31.5,0,0,Check-Out,10/8/2015
Resort Hotel,0,69,2015,October,40,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,243,,0,Transient,73.43,0,2,Check-Out,10/8/2015
Resort Hotel,0,50,2015,October,40,1,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,,0,Transient,50.03,0,0,Check-Out,10/8/2015
Resort Hotel,0,44,2015,October,40,1,4,8,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,78.5,0,1,Check-Out,10/13/2015
Resort Hotel,0,167,2015,October,40,1,4,10,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,,0,Contract,50.03,0,0,Check-Out,10/15/2015
Resort Hotel,0,113,2015,October,40,2,0,2,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,,0,Transient,76,1,0,Check-Out,10/4/2015
Resort Hotel,0,102,2015,October,40,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,56,1,0,Check-Out,10/4/2015
Resort Hotel,0,113,2015,October,40,2,0,2,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,,0,Transient,78,0,0,Check-Out,10/4/2015
Resort Hotel,0,0,2015,October,40,2,0,2,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,H,0,No Deposit,,,0,Transient,0,0,2,Check-Out,10/4/2015
Resort Hotel,1,29,2015,October,40,2,1,2,2,1,0,BB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,250,,0,Transient,117,0,0,Canceled,9/25/2015
Resort Hotel,1,115,2015,October,40,2,2,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,106,0,0,Canceled,7/21/2015
Resort Hotel,0,73,2015,October,40,2,2,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,47,0,0,Check-Out,10/6/2015
Resort Hotel,0,115,2015,October,40,2,2,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,1,No Deposit,240,,0,Transient,56,0,1,Check-Out,10/6/2015
Resort Hotel,0,115,2015,October,40,2,2,3,2,2,0,BB,IRL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,106,0,1,Check-Out,10/7/2015
Resort Hotel,0,20,2015,October,40,2,2,5,2,0,0,BB,LVA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,,0,Transient-Party,44.5,0,1,Check-Out,10/9/2015
Resort Hotel,0,56,2015,October,40,2,2,5,1,0,0,HB,NLD,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,71,,0,Contract,77,0,0,Check-Out,10/9/2015
Resort Hotel,0,50,2015,October,40,2,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,H,0,No Deposit,240,,0,Transient,50.4,0,2,Check-Out,10/9/2015
Resort Hotel,0,20,2015,October,40,2,2,5,2,0,0,BB,LVA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,,0,Transient,44.5,0,0,Check-Out,10/9/2015
Resort Hotel,0,53,2015,October,40,2,2,5,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,59.4,0,1,Check-Out,10/9/2015
Resort Hotel,0,46,2015,October,40,2,2,5,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,71,,0,Transient,55.43,0,0,Check-Out,10/9/2015
Resort Hotel,1,23,2015,October,40,2,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,,0,Transient,44.5,0,0,Canceled,9/9/2015
Resort Hotel,0,63,2015,October,40,2,2,5,1,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,42.23,0,0,Check-Out,10/9/2015
Resort Hotel,0,200,2015,October,40,2,2,5,2,0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,115,,0,Transient,72,0,0,Check-Out,10/9/2015
Resort Hotel,0,56,2015,October,40,2,2,6,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,60.9,1,3,Check-Out,10/10/2015
Resort Hotel,0,49,2015,October,40,2,2,6,2,0,0,BB,LUX,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,67.25,0,2,Check-Out,10/10/2015
Resort Hotel,0,56,2015,October,40,2,2,6,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,63.9,0,3,Check-Out,10/10/2015
Resort Hotel,0,2,2015,October,40,2,0,1,2,0,0,BB,,Corporate,Corporate,0,0,0,A,F,2,No Deposit,,287,0,Transient,82,1,1,Check-Out,10/3/2015
Resort Hotel,1,7,2015,October,40,2,0,1,2,2,1,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,127,0,0,Canceled,10/2/2015
Resort Hotel,0,0,2015,October,40,2,0,1,2,0,0,BB,CHE,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,120,1,0,Check-Out,10/3/2015
Resort Hotel,0,214,2015,October,40,2,2,3,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,258,,0,Transient,41.4,0,0,Check-Out,10/7/2015
Resort Hotel,0,182,2015,October,40,2,2,5,1,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,2,,0,Transient,43.2,0,0,Check-Out,10/9/2015
Resort Hotel,0,239,2015,October,40,2,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,36.13,0,0,Check-Out,10/9/2015
Resort Hotel,0,224,2015,October,40,2,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,45.9,0,0,Check-Out,10/9/2015
Resort Hotel,0,532,2015,October,40,2,2,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,47.46,0,0,Check-Out,10/11/2015
Resort Hotel,0,39,2015,October,40,2,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,71.3,0,0,Check-Out,10/12/2015
Resort Hotel,0,38,2015,October,40,2,4,7,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,,0,Transient,115,0,1,Check-Out,10/13/2015
Resort Hotel,0,0,2015,October,40,3,0,1,1,0,0,BB,AUT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,74,1,0,Check-Out,10/4/2015
Resort Hotel,1,87,2015,October,40,3,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,96,,0,Transient,36.05,0,0,Canceled,8/12/2015
Resort Hotel,0,114,2015,October,40,3,0,1,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient-Party,42.3,0,0,Check-Out,10/4/2015
Resort Hotel,0,1,2015,October,40,3,0,1,1,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,250,,0,Transient,90,0,0,Check-Out,10/4/2015
Resort Hotel,0,5,2015,October,40,3,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,67,0,0,Check-Out,10/4/2015
Resort Hotel,0,1,2015,October,40,3,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,G,0,No Deposit,,,0,Transient,110,1,0,Check-Out,10/4/2015
Resort Hotel,1,4,2015,October,40,3,1,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175,,0,Transient,58,0,1,Canceled,9/30/2015
Resort Hotel,0,192,2015,October,40,3,2,2,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient-Party,38.07,0,0,Check-Out,10/7/2015
Resort Hotel,0,192,2015,October,40,3,2,2,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient-Party,40.07,0,0,Check-Out,10/7/2015
Resort Hotel,0,192,2015,October,40,3,2,2,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient-Party,38.07,0,0,Check-Out,10/7/2015
Resort Hotel,0,39,2015,October,40,3,2,2,2,0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314,,0,Contract,81.6,0,0,Check-Out,10/7/2015
Resort Hotel,0,25,2015,October,40,3,2,2,1,0,0,BB,OMN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,,0,Transient,59.29,0,1,Check-Out,10/7/2015
Resort Hotel,1,192,2015,October,40,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,38.07,0,0,Canceled,9/1/2015
Resort Hotel,0,53,2015,October,40,3,2,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240,,0,Transient,59.4,0,1,Check-Out,10/7/2015
Resort Hotel,1,21,2015,October,40,3,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,77,0,0,Canceled,9/18/2015
Resort Hotel,0,19,2015,October,40,3,2,5,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,74.14,0,1,Check-Out,10/10/2015
Resort Hotel,0,10,2015,October,40,3,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,116,1,1,Check-Out,10/6/2015
Resort Hotel,0,61,2015,October,40,3,2,1,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,86,0,1,Check-Out,10/6/2015
Resort Hotel,1,72,2015,October,40,3,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,50.4,0,2,Canceled,9/14/2015
Resort Hotel,0,70,2015,October,40,3,2,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,,0,Transient,40.96,0,0,Check-Out,10/10/2015
Resort Hotel,0,46,2015,October,40,3,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,36,,0,Transient,44.8,1,0,Check-Out,10/10/2015
Resort Hotel,0,38,2015,October,40,3,2,5,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,93.43,1,0,Check-Out,10/10/2015
Resort Hotel,0,53,2015,October,40,3,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,47.33,0,0,Check-Out,10/10/2015
Resort Hotel,0,51,2015,October,40,3,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,,0,Transient,83.05,0,2,Check-Out,10/10/2015
Resort Hotel,0,124,2015,October,40,3,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,F,3,No Deposit,240,,0,Transient,87.43,0,0,Check-Out,10/10/2015
Resort Hotel,1,361,2015,October,40,3,2,5,26,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96,,0,Group,0,0,0,Canceled,1/2/2015
Resort Hotel,0,25,2015,October,40,3,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,68.16,0,1,Check-Out,10/10/2015
Resort Hotel,1,49,2015,October,40,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,,0,Transient,66,0,1,Canceled,8/20/2015
Resort Hotel,0,53,2015,October,40,3,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,56,0,2,Check-Out,10/10/2015
Resort Hotel,0,14,2015,October,40,3,2,5,2,0,0,BB,IRL,Direct,Direct,0,0,0,G,G,0,No Deposit,250,,0,Transient,136.71,0,0,Check-Out,10/10/2015
Resort Hotel,0,163,2015,October,40,3,2,5,2,0,0,BB,FRA,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient,51.3,0,1,Check-Out,10/10/2015
Resort Hotel,0,1,2015,October,40,3,0,1,2,0,0,BB,,Direct,Direct,0,0,3,G,H,0,No Deposit,,,0,Transient,99,1,2,Check-Out,10/4/2015
Resort Hotel,1,214,2015,October,40,3,1,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,208,,0,Transient,34,0,0,Canceled,6/9/2015
Resort Hotel,1,274,2015,October,40,3,2,5,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,96,,0,Transient,36.05,0,0,Canceled,6/17/2015
Resort Hotel,1,274,2015,October,40,3,2,5,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,96,,0,Transient,36.05,0,0,Canceled,8/12/2015
Resort Hotel,0,0,2015,October,40,3,0,0,2,0,0,BB,ESP,Direct,Direct,1,0,0,A,C,0,No Deposit,,,0,Transient,0,1,0,Check-Out,10/3/2015
Resort Hotel,0,0,2015,October,40,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,90,1,0,Check-Out,10/4/2015
Resort Hotel,0,16,2015,October,40,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,G,0,No Deposit,240,,0,Transient,137,0,2,Check-Out,10/4/2015
Resort Hotel,0,253,2015,October,40,3,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,,0,Contract,54.4,0,0,Check-Out,10/10/2015
Resort Hotel,0,53,2015,October,40,3,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,40,,0,Contract,47.33,0,0,Check-Out,10/10/2015
Resort Hotel,0,12,2015,October,40,3,2,5,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,,0,Transient,116.71,0,1,Check-Out,10/10/2015
Resort Hotel,0,59,2015,October,40,3,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,,0,Contract,67.14,1,0,Check-Out,10/10/2015
Resort Hotel,0,44,2015,October,40,3,4,6,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314,,0,Contract,77.84,0,0,Check-Out,10/13/2015
Resort Hotel,0,2,2015,October,41,4,1,0,2,0,0,HB,DEU,Corporate,Corporate,0,0,0,A,E,0,No Deposit,110,,0,Transient,92.6,0,0,Check-Out,10/5/2015
Resort Hotel,0,1,2015,October,41,4,1,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,,0,Transient,47,0,0,Check-Out,10/5/2015
Resort Hotel,0,0,2015,October,41,4,2,0,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient-Party,56,0,0,Check-Out,10/6/2015
Resort Hotel,1,338,2015,October,41,4,2,0,55,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Group,0,0,0,Canceled,1/2/2015
Resort Hotel,1,34,2015,October,41,4,2,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,117,0,0,Canceled,9/11/2015
Resort Hotel,1,34,2015,October,41,4,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,242,,0,Transient,122,0,0,Canceled,9/21/2015
Resort Hotel,0,81,2015,October,41,4,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,175,,0,Transient,63.66,0,0,Check-Out,10/11/2015
Resort Hotel,0,26,2015,October,41,4,2,5,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,250,,0,Transient,68.43,0,1,Check-Out,10/11/2015
Resort Hotel,0,75,2015,October,41,4,4,6,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,,0,Transient,60.4,0,1,Check-Out,10/14/2015
Resort Hotel,0,54,2015,October,41,4,4,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,,0,Contract,78.2,0,0,Check-Out,10/15/2015
Resort Hotel,1,170,2015,October,41,4,4,8,2,0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,Non Refund,15,,0,Transient,44.5,0,0,Canceled,7/17/2015
Resort Hotel,0,69,2015,October,41,4,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,,0,Transient,41.25,0,1,Check-Out,10/9/2015
Resort Hotel,0,69,2015,October,41,4,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,6,,0,Transient,40.05,0,1,Check-Out,10/9/2015
Resort Hotel,1,38,2015,October,41,4,2,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,117,0,1,Canceled,8/31/2015
Resort Hotel,0,90,2015,October,41,4,4,10,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,107.43,0,0,Check-Out,10/18/2015
Resort Hotel,0,111,2015,October,41,4,2,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,57.67,0,0,Check-Out,10/10/2015
Resort Hotel,0,18,2015,October,41,4,2,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,63.47,0,1,Check-Out,10/10/2015
Resort Hotel,0,4,2015,October,41,4,1,0,1,0,0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,42.3,0,0,Check-Out,10/5/2015
Resort Hotel,1,275,2015,October,41,4,2,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,208,,0,Transient,50,0,0,Canceled,1/30/2015
Resort Hotel,1,275,2015,October,41,4,2,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,26,0,A,A,0,Non Refund,208,,0,Transient,50,0,0,Canceled,1/30/2015
Resort Hotel,0,23,2015,October,41,4,2,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,1,A,E,0,No Deposit,314,,0,Contract,46.4,0,0,Check-Out,10/6/2015
Resort Hotel,0,1,2015,October,41,4,1,0,2,0,1,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,56,0,1,Check-Out,10/5/2015
Resort Hotel,0,0,2015,October,41,4,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,76,0,0,Check-Out,10/5/2015
Resort Hotel,0,0,2015,October,41,4,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient-Party,66,0,0,Check-Out,10/5/2015
Resort Hotel,0,0,2015,October,41,4,1,0,2,0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,86,1,0,Check-Out,10/5/2015
